바이든 8000만표 넘었다…美 대선 역사상 최다 득표	2020.11.26. 오전 7:19	조 바이든 미국 대통령 당선인이 지난 11·3 대선에서 8000만표를 넘게 득표한 것으로 집계됐다. 바이든 당선인은 미 대선 역사상 가장 많은 표를 얻은 대통령이자 처음으로 8000만표 넘게 득표한 대통령으로 기록됐다. 7300만표 이상을 득표한 도널드 트럼프 대통령은 두 번째로 많은 표를 얻은 대통령이 됐다.  조 바이든 미국 대통령 당선인이 24일(현지시간) 델라웨어주 윌밍턴의 '퀸 시어터' 극장에 마련된 대통령직 인수위원회 본부에서 기자회견을 통해 차기 행정부의 외교안보팀을 소개하고 있다. /로이터 연합뉴스  25일(현지 시각) CNN방송에 따르면, 바이든 당선인은 이날 오전 현재 대선 집계 결과 8002만 6000표를 확보했고, 트럼프 대통령은 7389만표를 얻은 것으로 파악됐다. 이로써 바이든 대통령 당선인과 트럼프 대통령은 미 역사상 최다 득표를 한 대선 후보에 나란히 이름을 올리게 됐다.  대선 득표 결과는 전국에서 계속 집계 중이며 바이든 당선인과 트럼프 대통령의 득표 수는 더 늘어날 것으로 보인다. 둘의 표 차이는 지난 20일부터 600만표를 넘어섰다고 CNN은 전했다. 미 언론은 바이든 당선인이 선거인단 총 306명을 확보해 대통령 당선에 필요한 과반(270명)을 넘겼다고 보도하고 있다. 트럼프 대통령은 선거인단 232명을 확보했다.  종전까지 미 대선 득표 최고 기록은 지난 2008년 대선에서 버락 오바마 전 대통령이 받은 6950만표였다. 최다 득표로 대선에서 패배한 후보는 지난 2016년 6590만표를 얻은 힐러리 클린턴 전 국무장관이었다.  트럼프 대통령은 지난 23일 연방총무청(GSA)에 대통령직 인수인계 절차에 협조할 것을 지시했으나, 아직 대선 결과에 불복하고 있다. 트럼프 캠프 측은 부정선거 의혹을 주장하며 경합주에서 개표 결과의 공식 인증 등을 막기 위해 소송을 진행 중이다. 그러나 이미 조지아, 미시간, 펜실베이니아, 네바다 등 경합주에선 바이든의 승리를 공식 인증하는 절차를 끝냈다.  미국에선 각 주(州)가 개표 결과를 공식 인증하면 주별 선거인단을 모은 뒤 다음 달 14일 선거인단 투표를 진행해 차기 대통령을 공식적으로 선출한다.  [이세영 기자 230@chosun.com]     ▶ 코로나19 현황 바로가기 ▶ 당신의 맞춤뉴스 '뉴스레터' 신청하세요 ▶ 조선일보 로그인하고 영화 공짜로 보자!	
7	재앙이는 40프로 간식히 넘겨서 당선되고 나라를 개작살을 내는데도 지지율 60%씩 70% 나온다고 발표하더라.나라를 박살내고도 부정선거해서 180석 처먹었으니 다음선거역시 부정선거 할거라 앞으로 대한민국은 인민중공 공화국이 될 예정임	3.0	0	1
7	그리 생각하시고 평생 그렇게 사세요.  뭘 정치를 잘 할 생각은 안하고 이런소리만 하고 있으니 지지율이 오르나   반공 공산주의 빨갱이 이런것만  이야기하니  지금이  어느시대인데	0	2.584962500721156
8	바이든 때려 잡지 못하면.. 모든 국가들이 부정선거로 정권을 잡으려 할 것이다..	3.0	0.0	0
9	최다득표의 이유가 우편 투표를 통한 부정 투표가 개입되었다는 거지....	3.0	1.0	2
9	바이든이 그동안 여론조사에서도 여유있게 앞서고 있었는데 뭔 소리를 하는 건지. ㅋㅋ	0	0
9	그거 다 조작이거든  문재인처럼 미리 여론조사로 밀밥깔고  거기에 맞춰서 표갈이 하는거다 밝혀졌는데?	0	0
10	바이든이 뭐길레? 역대 최다득표? 뭔가 이상하지 않나?	2.807354922057604	0.0	1
10	뭐길레 -> 뭐길래	0	0
11	변태성애자, 부패정치인 Sleepy Joe가 힐러리 오바마보다 1천 4백만표 더 많고 케네디보다 더많은 8천만표를 얻었다고? 왜???미역사상 최대의 사기극이니까	2.584962500721156	0	0
12	트럼프가 사상최대 득표를 하니 갑작스레 표를 만들어 쏟아부었잖아. 사전투표 우편이 당일 출발 당일 도착 말이되냐??	3.0	1.5849625007211563	0
13	바이든은 당선인 아니거든 누가 인정했는데? 니들 언론이 정하면 돼냐 개소리다. 언론이 거짓으로 인정했다고 보도한 미 총무처장이 바이든 인정 안 한다고 한 것 봐라. 지원 받고 싶으면 당선인 증 가져오라고 했다. 근데 당선인증이 없다는 것 웃기지?	2.321928094887362	0	0
14	트럼프는 천만표 플러스   바이든은 천만표 마이너스하면 된다~   결국  트럼프가  미역사상  최초의8천만표 득표한 최초의 대통령임	2.321928094887362	0.0	0
15	참 이상하지 어떻게 우편투표에서만 죄다 나올까	2.321928094887362	0.0	0
16	역시 기레기 조선 탑오더월드군  거짓과 진실  불의와 정의  억압과 자유  조선일보는 어떤 것을  추구하는지  알겄다아  하하  사요나라  페간!	2.321928094887362	0.0	0
17	부정투표인데...이런 거짓뉴스보도한 기사는 소송먹었음 좋겠다	2.0	0	0
18	도미니언	2.0	0	0
19	언론이 대통령 뽑냐?  아직 대통령 안됐거든?? 이 기레기들 알면서도 국민들에게 사기치고 있음	2.0	0.0	1
19	ㅋㅋ 이젠 하다못해 수꼴들이 조선일보를 사기꾼으로 몰고 있네. ㅋㅋ	0.0	0
20	기레기들  가짜  뉴스  보는데   정말  질렸다. 이 쓰레기들  누가  청소  좀  않하나  !	1.5849625007211563	0	0
21	저런 치매변태 소아성애자 노인이 역대최대표를 받을리가 있나? 부정투표가 강하게 의심된다 왜 도미니언 전자개표기 서버가 미국에 있지 않고 스페인과 독일에 있을까? 뭘 숨기고싶은걸까? 철저하게 찾아서 조사해야 한다	1.5849625007211563	0	0
22	솔직히 너무 많이 받았잖아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 정도껏해야지 ㅋㅋ	1.5849625007211563	0	0
23	지금 미국 부정선거 청문회에 부정선거 내용 막 쏟아지고 있다. 바이든 대통령 될 일 없다. 가짜뉴스 언론들아	2.0	1.0	0
24	부정 선거 주장하는 머리에 문제 있는 사람들이랑 아닌 사람들이랑 똑같이 1표인게 참.....댁들 같이 문제 있는 사람들 때문에 보수 진영이 망하고 있는거야......	1.5849625007211563	0.0	3
25	사기를 쳤어도 적당히 쳤어야지!  감옥갈 예정인데... 이 기레기들 너희도 한통속이야!!	1.5849625007211563	0.0	0
25	진 쪽에서 개표중지 소송 걸어 중지시킨 곳과, 재개표 시킨 곳도 있으니 그렇지요	0	0
26	트럼프 득표 넘어서게 부정선거 하다보니..과했네 ㅉ	1.0	0	1
27	바이든 당선되면 백프로 대북강경책으로 나갈텐데 깨문이들이 바이든 빠는거 보면 정말 블랙코메디임 ㅋㅋㅋㅋㅋㅋ	1.0	0	0
28	미국은 어짜피 연방대법원 가고 시간 오바로 하원에서 대통령 선거 다시 한다. 트럼프 측은 그 때를 대비해서 수집한 증거를 연방대법원에 가서야 쏟아 놓을 예정이다. 판결이 어떻게 나오든 말든 관계없이 시간 오바 되면 하원에서 선거 다시 한다.	1.5849625007211563	1.0	0
29	조작질하는데 뭔들 못하겠어 찍으면 되는데 헐 세상의 진정한가치가 무엇인지 모르는 조현병자들...	1.0	0.0	0
30	치매 사랑은 끝이 없다. 여기나 저기나 죽은 소들도 다 투표하니까	1.0	0.0	0
31	기자님 고만 카피하소. 트럼프는 현재대통령입니다. 현직 미국대통령이  승복안하고 부정선거라고 소송중인데, 왜 우리언론은 외신만 카피하시는지?좀 기다리세요. 애들 싸움이 아니고 대통령의 싸움입니다.	0.0	0	0
32	근데 당선호소인이자 당선구걸인인 바이든은 왜 친손녀랑 입술로 딥키스를 하는거냐? 비쥬도 아니고 왜 주둥이에 키스해?	0.0	0	0
33	조선이 지속적으로 보도하는건 다이유가있지 ㅋㅋㅋ	0.0	0	0
34	불편한 진실은 외면 편안 거짓은 환영 전형적인 인지부조화와 자기합리화의 콜라보레이션 ~~ 할배들요 눈은 잘 보이고 귀는 잘 들리시죠? ㅋㅋ	1.5849625007211563	1.5849625007211563	0
35	살다살다 딱딱 가짜보수가 결국 조선일보까지 공격하는 모습을 보는구나 ㅋㅋ 원래 조선일보가 의도한대로 흘러가던 다루기쉬운사람들이 유툽바보상자보면서 이상한 사고방식에 빠져버렸으 ㅋㅋㅋㅋㅋㅋ	1.5849625007211563	1.5849625007211563	0
35	조선도 전교조 선생들한테 교육받은 기자들로 채워져 있어서 좌 편향된지 오래.	0	0
36	바이든이 좋아서가 아니라 그만큼 미국사회가 분열되고 경제가 휘청거려 사람들이 새로운 희망을 간절히 바라기 때문이드	1.0	1.0	2
37	기자야 뭐좀 알고 기사써라 영어 해석도 못 하니?	0	0	0
38	조선일보 가짜 OOO 뉴스 너네 좌클릭 한다고 좌파에서 이뻐해줄것 같냐?너네는 좌파에서도 OOO고 우파에서도 배신자 OOO 인거야	0	0	0
39	지저분한 사기꾼 트럼프를 백악관에 계속 모시기 위하여 부정선거 운운하는 트럼프빠들도 울고 갈 부류가 이 한국땅에 있다. 대깨문들이다. 트럼프빠들보다 훨씬 더 저급한 억지주장과 궤변을 늘어놓는 자들이 한국땅에  잔뜩 웅크리고 있다.  인류의 진보를 가로막는 하수도 sludge 같다.	0	0	0
39	대깨문들이 트럼프빠를 옹호하는 게 당연한 이치.	0	0
39	너 짱개 간첩이지!	0	0
40	살다살다 그 분들이 ㅈㅅ일보를 사기꾼 취급하는 걸 보네. ㅈㅅ일보는 그  분들의 성경 아니었던가...ㅋㅋㅋㅋㅋㅋ	0	0	2
41	you vote but we count..조작선거 홧팅	0	0	0
42	미국시민권자이며  등록유권자가 총  얼마인지  이런건  전혀  이야기 안해 ㅋ ㅋ ㅋ ㅋ	0	0	0
42	왜 얘기해야 하는지 설명 좀. ㅋㅋ	0.0	0
43	바이든이 문재인에게 경고 했지요. 중국에 붙어서 외톨이 되지 말라고. 바이든이 이미 문재인을 파악하고 있어요.	0	0	1
44	그대들이 좋아하는  조선일보인데  왜이런   댓글들을달으실까   그 마음을   알수가없네	0	0	0
45	어딜봐서 최다 득표일꺼같아? 힐러리 오바마보다 득표 최다?ㅋㅋ부정투표정도는 해줘야 설득력있지	0	0	0
46	조선아 핑의 똥 구멍을 핧던 내 알바 아니지만 기사 만큼은 진실하게 적어라.	0	0	0
47	베트남전 미군 5만명 사망...지금 코로나로 미국인 25만명이상 사망중. 매일 20만명 확진...대통령이 국민의 목숨을 지키는것이 가장 중요.	0	0	0
48	득표가 중요한게 아니고 50개 주의회 승인이 나야  선거인단이 확정되는거야!남한 카운티 컨츄리 선거하냐?에라이 기레기 삼인성호 가즈아~현재  선거인단 확정트럼프 232 vs 227*미확정 6개주 79명*미연방총무청(조달청)재무국 :  인수위 비용은선거인단 270명  확정(인증)  공식서류 또는미연방 상하원 당선증 가져오면 인수위 비용지원하겠다.*ex) 대학  재학생이 이번 중간.기말시험 수석한거 같으니장학금 달라는 격이고, 학원재단과 학사지원센터에서는 장학금은 준비되어 있으니 성적표 제출하라는 것	0	0	0
49	최소 1000만표는 가짜표	0	0	0
50	마 이제 조중동도 빨갱이 좌파언론이라며 몰려들겠네 ㅋㅋ	0	0	0
51	이런기사내면 그분들이 좌파언론이라면서 욕하든데 조선일보한테도 그리얘기하려나?ㅋㅋㅋㅋㅋㅋ	0	0	0
52	치매 의혹 바이든이 스피치 황제 오바마보다 많은 득표 ㅋㅋㅋㅋ 역사상 가장 많은 득표를 얻은 트럼프 이기려고 열심히 조작하셨네	0	0	0
53	얼마전까지 도람프편들던 조선일보가 이런기사를ㅋㅋ.승복의 의미냐?	0	0	0
54	정체성이 민주당이라서 찍은 사람들 외에 트럼프에 절망한 표들이 모여서 8천만표를 이루었을 것이다.	0	0	0
55	조선도 갔네~~진실도 모르고 정세도 파확 못하고그나마 믿었던 조선도이제 막 가네~잘 ~~봐더라! 누가 미국에 대통령이 되는지~기자는 앞을 봐야 하는 것야	0	0	0
56	표공장 돌려 만든  유령표  동물표  미키마우스등 캐릭터들도 바이든 찍었다던데.. 대단한 바이든!	0	0	0
57	도대체 왜 인간말쫑 또람뿌를 지지하고 옹호하는지 모르겠다. 그는 북괴 김정은에게 무임승차 시켜 핵무기 게속 개발하게 한 한국의 웬수다. 그런데 어떻게 그런 종자를 지지하나? 종복파냐? 입만 열면 거짓말이고, 하는짓마다 깽판인데, 그건 인간의 탈을 쓴 악마라고 봐야한다. 뭐 부정선거? 지금까지 60여건의 소송을 걸었지만 거의 모두 기각된 것은 뭐냐? 증거가 있어야제. 마치 사이비 종교 추종하는 광신도들 같다. 좀 측은하다.	0	0	0
57	미국 극좌에서 만들어논 프레임에 같인 당신입니다!	0	0
57	멀리갈것도 없이 친일파 쥐박이 지지하는분들도 있는데요 뭘~ 다양한 군상들이 계신거쥬~ 다만 그런분들이 주류가 되면 미국얘들처럼 공든탑이 와르르 하면서 훅 가는거구요 ㅎㅎ 중국, 러시아와 북한만 신났지요 뭐^^ 국가위상올라가고 이미지 제고하면서 협박에 대한 면역력도 키우고요	0	0
58	트럼프는 아직도 더러운 입만 놀리네. 결과에 승복해라.	0	0	2
59	여자아이들 더듬이질 하는 노망난 노인네가 케네디 루즈벨트 오바마를 제치고 역대 최다득표율을 기록했다는것에 미국인들도 비웃고 있다. ㅎㅎㅎ	0	0	0
60	조진핑 우공당 공산당 시키들 중국 쫄개니 설치는구나 부정선거라고 아닥해라	0	0	0
61	쟤가 8천만표면 못움직이는 노인부터 요람에 있는 아기까지 투표한거다. 200% 표 얹거나 전자개표기로 갈취한거지 ㅋㅋ 진실까지 숨기려하지마라 . 저널리즘은 변기 통에 쑤셔버린 썩은 언론사야.	1.0	1.5849625007211563	0
62	부정선거로~!  조선일보도 일률적으로 다른신문들과 똑같이 놀아나면.....CNN 꼴 날것.  구독자들에게서 철저히 외면당할것.  선명성 있는 다른 목소리, 기사를 쓰기 바란다!!	0.0	1.0	0
63	미국이 그렇게 만만해보여 모든씨스템이 허슬해보이니; 미국프로젝트를 한번이라도 해봣니, 이미250년전부터 영국법전 사회망씨스템을 갖쳐 미국이 세워진거고 사회모든씨스템은 누군가에의해 조작을할수없고 만에하나어떤 부정이 발생되면 최소형량이 50년이상이고 아예그런생각조차못해, 토람프는 이미알고있고 추종자들도 다알고있어 .백인젊은 유권자들이 등돌린것에 대한 반항이지 그건토람프가 개인독재 미국위상추락 다른국가로부터 왕따현상을 더는 못보겟다는 반증이야 가장큰건 민주주의를 훼손한게크지 어떤절차도 없이 스마트폰으로 바로짜르는 ,이건 히틀러도안한건데	0.0	1.0	0
64	미국 득표율이 높다는건 부정투표 의심이 된다  한국은 걍 부정투표고	0.0	1.0	0
64	바보	0	0
65	미국이 부정선거여도 미국의 일이다. 우리나라랑 관련 없음.	0	0.0	1
66	여기 트럼프 빠는 새키들 미국이란 나라를 1도 모르는새퀴들 천지다 OOO 허접한 지식 쓰레기 갖고 ㅋㅋㅋ	0	0.0	0
67	세상이 거짓으로 덮였군  ㅉ ㅉ	0	0.0	0
68	이 틀니딸깍이들은 트럼프가 백악관에서 쫓겨나고 감옥에 들어가도 진짜 대통령은 트럼프라고 굳게 믿을 정신질환들이네. 까스통 메고다니면서 부탄까스 빨아마셨냐 해까닥 치매가 온 거냐 애잔한 예비주검들ㅋ	0	0.0	0
69	그게 누구인게 중요한게 아니제... 트럼프는 안돼야 한다는 위기의식과 편향된 극우가 기득권을 유지하려고 표대결로 한판 붙은거제 ㅎㅎㅎ 수천년동안 주인이 따로있는데 똑같은 이민자들끼리 일이백년 살았다고 지덜껀줄 아나벼	0	0.0	0
69	북괴삭제 후 대한민국에 흡수	0	0
70	치매 듣보잡이 역사상 최다득표란다.....	2.0	2.584962500721156	1
71	부정표가 1,200만표면 역시 사기도 사이즈있게 쳐야됨을 멈소 보여준 분이네. 패기있네.	1.5849625007211563	2.321928094887362	0
71	밥은 먹고 다니니? 인생이 불쌍타.....ㅉㅉㅉ	0.0	0
