유승민 "한국판 뉴딜 예산 삭감해 3차 재난지원금 선별지급해야" [전문]	2020.11.27. 오전 9:11	"하위 50%에게 계단식으로 지원하자" 유승민 전 의원이 지난 18일 서울 여의도 국회 앞 태흥빌딩 '희망 22' 사무실에서 열린 기자간담회에서 인사말을 하고 있다. /사진=연합뉴스  신종 코로나바이러스 감염증(코로나19) 확산세가 거세지는 가운데 유승민 전 미래통합당(국민의힘 전신) 의원(사진)은 27일 "'한국판 뉴딜' 예산을 삭감해 재원을 마련한 뒤 3차 긴급재난지원금은 선별로 지원하자"고 주장했다.  유승민 전 의원은 이날 자신의 페이스북에 '3차 재난지원금은 소득 하위 50% 전 가구에 계단식으로 지원하자'라는 제목의 글을 올리며 이같이 밝혔다.  유승민 전 의원은 "계단식으로 하자는 이유는 더 어려운 국민들을 더 도와드리자는 것"이라며 "이것이 사회복지의 철학과 원칙을 지키고, 공정과 정의의 가치를 지키는 길"이라고 전했다.  이어 "먹고 살기 힘든 분들이 특정 업종에만 몰려있는 것은 아니다. 3조6000억원을 특정 업종에만 지원하게 되면 지원의 사각지대가 너무 클 것"이라며 "내가 제안한 방식은 약 7조원의 예산이 소요되므로 3조6000억원의 두 배나 되지만 어려운 분들을 실질적으로, 빠짐없이 도와드리는 효과는 훨씬 클 것"이라고 바라봤다.  그는 "이 예산은 555조원의 정부 예산안에서 순증할 것이 아니라, 한국판 뉴딜 등 전시성 예산을 과감하게 삭감하여 재원을 마련해야만 재정 건전성을 더 이상 해치지 않을 "이라며 "나의 이 제안을 국회가 진지하게 검토해줄 것을 기대한다"고 했다.  지난 9월6일 서울시내 쪽방촌의 모습. /사진=뉴스1 다음은 유승민 전 의원 페이스북 전문 < 3차 재난지원금은 소득 하위 50% 전 가구에 계단식으로 지원하자 >  3차 재난지원금을 내년도 본예산에 넣는 문제를 두고 우리 당이 "코로나 사태로 경제위기를 맞은 택시, 체육관, 학원, PC방 등 피해업종 지원과 위기 가구 긴급생계지원 등을 위해 재난지원금 3조6000억원을 지원하자"고 하자 민주당이 이에 동조하고 나섰다.  코로나 사태로 극심한 어려움을 겪는 국민들을 도와드리기 위해 국가재정을 써야 한다는 점에 나는 적극 동의한다. 다만 그 방법을 어떻게 할 것이냐, 재원을 어떻게 마련할 것이냐가 중요하다.  국회 예산심의가 끝나기 전에 나는 다음과 같이 긴급 제안한다.  소득 하위 50% 전 가구에게 지급하되, 계단식(sliding 방식)으로 하위 20% 가구에게 150만원, 하위 20~40% 가구에게 100만원, 하위 40~50% 가구에게 50만원을 지급하자 (이상 4인 가족 기준). 이는 소득 하위 50%인 1000만여 가구에게 소득에 따라 차등을 두고 지원하자는 것이다. 계단식으로 하자는 이유는 더 어려운 국민들을 더 도와드리자는 것이다. 이것이 사회복지의 철학과 원칙을 지키고, 공정과 정의의 가치를 지키는 길이다.  먹고 살기 힘든 분들이 특정 업종에만 몰려있는 것은 아니다. 3조6000억원을 특정 업종에만 지원하게 되면 지원의 사각지대가 너무 클 것이다.  내가 제안한 방식은 약 7조원의 예산이 소요되므로 3조6000억원의 두 배나 되지만 어려운 분들을 실질적으로, 빠짐없이 도와드리는 효과는 훨씬 클 것이다. 이 예산은 555조원의 정부 예산안에서 순증할 것이 아니라, 한국판 뉴딜 등 전시성 예산을 과감하게 삭감하여 재원을 마련해야만 재정 건전성을 더 이상 해치지 않을 것이다.  나의 이 제안을 국회가 진지하게 검토해줄 것을 기대한다.  조준혁 한경닷컴 기자 presscho@hankyung.com    ▶ 애플·테슬라 지금 사도 될까? 궁금하면 '해주라' ▶ 네이버에서 한국경제 뉴스를 받아보세요 ▶ 모바일한경 구독신청  ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지	
17	수입차 타면서 소득 줄었다고 울상인 자영업자는 패쓰가 맞는거죠. 정말 한푼이 없고 코로나로 일자리도 못구해서 생기는 최악의 상황은 막자는 차감지급안 찬성입니다. 댓글보니 벌써 악성 포퓰리즘에 중독된 자들이 많네요.수입차 타고다니면서 먹고 살만하면 본전생각과 거지근성 버립시다. 이게 문재앙정권이 노리는 하향평준화 배급받는 세상인겁니다	1.5849625007211563	1.0	0.0
18	소상 자영업 특고 프리렌서 절데 주지마라 다들 천만이상 받을때 저소득가구 100+아동수당이 전부였다 소상 자영 특고 프리 너무많이줬다 저소득가구에 2-300씩주면 찬성한다 그럴거 아니면 재난지원금 뿌리지마라	1.5849625007211563	1.0	0.0
19	뉴딜예산 삭감은 맞는데 하위 51%는 어쩌라구? 예산에 50%는 전국민 골고루 나눠주고 나머지 50%는 영업 제한받는 자영업자들 나눠주는게 맞는것 같다	1.5849625007211563	1.0	0.0
20	진짜짜증나네 이놈의재난금 선별선별 왜 선별이냐고 다안줄려면 재난금없애라	1.0	0.0	0.0
21	선별 지급 반대해요. 더 어려운 사람들 지원이야 찬성이지만 제대로 된 데이터가 없잖아요.	1.0	0.0	0.0
22	수해나 가축전염병이 발생하면, 전국민 통신비 깍아주는 겁니까? 제발 벼랑끝에 몰린 자영업자에게 대폭지원을 해주세요! 정치적인 표 계산은 그만두세요!	1.0	0.0	0.0
23	뉴딜 하지말고 그돈으로 전국민 한테 다 주는게 낫다	1.0	0.0	0.0
24	역시 클라스가 다르네요!	1.0	0.0	0.0
25	하위 50%를 어떻게 집계하나요??	2.807354922057604	2.807354922057604	1.5849625007211563
26	니가 선변지급 기준 만들어봐라...이놈도 가방끈만 길었지 깡통수준이다	2.321928094887362	2.321928094887362	0.0
27	당신 재산 정리해서 주시오.	2.0	2.0	0.0
28	유승민의 합리적인 생각에 동의합니다. 이재명의 악성포퓰리즘 등 민주당이 재집권하면 나라 거덜 낼 것이지요. 가장 정확하고 합리적인 생각으로 나라 생각하는 유승민, 이래서 지지하고 응원하게 되지요.	1.0	1.0	0.0
29	유승민 당신 돈으로 걍 다 퍼주시길. 그동안 열심히 성실히 살아온게 죄요??	1.0	1.0	0.0
30	그래 그 돈은 너같은 상위10%가 내서주라..국민을 사랑하는 승민상...	1.0	1.0	0.0
31	그놈의  선별지급ㅋ  하위 상위나눌바엔  다지급하는게 맞는듯...나라만  부채심각하나  국민들도 어려운건매한가지	1.0	1.0	0.0
32	유승민 애는 참 분위기 파악못하네..지금 전선이 어디있는줄 모르고 감각이 없네^^	1.0	1.0	0.0
33	유씨  그만해라. 은퇴할일밖에  안남았어	1.0	1.0	0.0
34	대권 넘본다고 하더니 사탕발림만...	1.0	1.0	0.0
35	뉴딜인지 뉴트리아인지 국민이 먼저다 코로나백신부터 예방접종이우선이지 더듬어공산당새킈들	0.0	0.0	0.0
36	전국민 지급해라	0.0	0.0	0.0
37	돈 풀지마라 화폐 가치만 떨어진다.고작 30~50 만으로 부동산만 더 오름	0.0	0.0	0.0
38	이건 얼마짜리 판이냐.. 4개강보다 더 큰 판인가	0.0	0.0	1.0
39	제발 아무것도 하지말고 코로나확산세를 막아라 그걸로도 니들은 충분히 버거울거다.	0.0	0.0	0.0
40	미친거냐 경제살리는 예산을 삭감하라고.? 부끄렁ㆍㄴ줄알아라 십세야	0.0	0.0	0.0
41	그만줘라!!!!국민들세금에 쳐  죽는다	0.0	0.0	0.0
42	물론 어렵고 정답이 없는 문제겠지만, 이번 안은 반대합니다. 사회복지적 차원의 지원이라면 맞는 얘기일 수도 있습니다. 하지만 이번 지원금은 '재난'지원금이죠. 코로나가 아니었다면 정상적으로 일해서 번 돈으로 소비하는 경제주체들이 무너지지 않도록 하는 목적이 크다고 생각합니다.  원래는 자립한 경제주체였으나 실업자가 되어 지원의 대상이 되지 않도록 하는 안을 설계해야합니다. 극빈층보다는 기존에는 자립했던 경제주체인데 코로나로 휘청이는 자들이 버틸 수 있도록 돕는 방향으로 설계해야한다고 봅니다.	0.0	0.0	1.0
43	대깨문들아 이런 대안이 문통 대x리에서 나오니?그러고도 알럽 문재인이냐 ? ..	0.0	0.0	0.0
44	재난지원금이 거리두기격상하면서  매장영업도 못하고 매출안되서 수입이없거나 준 사람들때메  다시 나온애기인데 먼 하위50에주자는건지...그렇다면 경계에걸려 못받는사람들은  안억울하겟어요? 이래저래 피해자는생겨요  당장 막막한사람이 누군지생각하셔야지요  하루벌어 하루먹고사는 자영업자들이 제일 타격이 크겟죠	0.0	0.0	1.5849625007211563
45	50%를 나눌수있는 방법부터 제시하시오~~~~	0.0	0.0	0.0
46	국가주도하는게 뭐 있나 부동산이나 무슨정책 잘하는게 없는데 기업이 잘했지 대출이나 잘하면 몰라  예산 이럴때 전국민쓰라	0.0	0.0	0.0
47	이시국에 가덕도씨부린 정치인 아웃~	0.0	0.0	1.0
48	또 대가리 굴리네.... 솔직하게 주기 싫으면 주지마 여기저기 나눠버리면 그게 더 사람들 빡돌게 하니깐 차라리 입닫아 그런식으로 할거면 이번 1단계때 싸돌아다니고 술퍼마시고 할로윈파티에 규칙 무시한사람들 다 찾아내서 그 사람들 빼고 주면 되겠네   그냥 다 주지마 진짜 힘들게 사는 사람들은 주더라도  자영업자 일반인들  다 주지마라  진짜 어려운 사람 찾아내서 제대로 지급하면 암말 안하마 난 낼모레 90인 어머니 모시고 둘이 산다 백수고 통장까먹기 하면서 내년 까지 버티려고한다  이런 나도 안받아도 좋으니까 입 닫아라 쫌 닥쳐!!!	0.0	0.0	0.0
49	댓글다는 꼬라지들 보니 벌써 악성 포퓰리즘에 중독되었네.	0.0	0.0	0.0
50	유승민 야당을 하려면 지금보다 백배는 독하게해라... 그렇지 않음 고춧가루 뿌리지말고 걍 짜져라	0.0	0.0	0.0
51	선별지원... 하지를 말아라... 열심히 사는 사람들만 바보된다는... OOO	0.0	0.0	0.0
52	너뭐냐???? 지들은 받으면서  우린못준다??	0.0	0.0	0.0
53	개승민  갇은  소리  하고 자빠젖네   인간이  되어라  배운  망덕한  인간~배신자.	0.0	0.0	0.0
54	우선 서울시장 출마해서 업적을 쌓아주세요. 천만표 얻을수 있습니다. 바이든도 80 보는 나이에 대통령 되었습니다. 5년후 대선을 노리세요.	0.0	0.0	0.0
55	더 어려운 사람에게 양보 좀 하자.  가정에서 음식이든 뭐든 부족한듯 하면  양보 하듯이.	0.0	0.0	0.0
56	일단 지원금 반대입장이지만, 굳이한다면, 전시성예산을 줄이는게 맞지. 지금재정건전성이 지나치게 적신호라... 개인적으로 지원금보다 백신올인의 시기라 본다. 도입이 빠를수록 낫다. 경기가 12개월 멈추느냐 도입후 2개월정도 투여완료해 멈추느냐 싸움이지. 화이자/모더나 마루타하면서 국내백신추종자는 국내백신 마루타는 괜찮고? 중요한건 그걸 검증위한 3상이고, 러시아 중국등은 그 3상을 공개안했다. 영국도 3상결과를 이상하게 공개해서 일단 보류하는게 맞고. 시기는 백신도입의 시기다...	0.0	0.0	0.0
57	선별 지원? 그래  국회의원  장차관과  당신같이  몆십억  재산가만 빼고?	0.0	0.0	0.0
58	"한국판 뉴딜 예산 삭감해 3차 재난지원금 선별지급해야" 너들이 한짖리 머냐.지역 예산 세치기 낀가 처묵지 마라. 그걸로도 충분히 될겨	0.0	0.0	0.0
59	선별지급할꺼면 많이좀주라~~~ 코딱지만큼 주지말고! 표가안난답	0.0	0.0	0.0
60	한국판 뉴딜 예산 줄이는건 좌빨들이 반대할텐데......좌빨 자기들이 만들어둔 밥그릇 뺏기기싫어서???.....좌빨들이 해처먹을 국민세금인데????~~~~	0.0	0.0	0.0
61	누가보수고 누가좌파인지...	0.0	0.0	0.0
62	할거면 1차 때처럼 전국민 지급하고, 내수와 지원 두 개의효과를 보는 쪽을 택하세요.선별지원하면 어차피 다 사라지는 돈임. 1차 때가 효과가 제일 좋았는데, 왜 자꾸 선별지원임?대기업이 1차처럼 하면 자기들 망한다고,,로비하나요? ㅉㅉㅉ1차처럼 하는게 답이예요, 다들 1차지원이 가장 효과가 좋았다는걸 인정하는데 정치인들만 계속 선별지급을 주장함...ㅉㅉㅉㅉ	3.4594316186372978	3.5849625007211565	1.0
63	이 무슨 개같은 소리야?줄려면 다 줘!!!	2.807354922057604	3.0	0.0
64	저 모질이 또 개소리	1.0	1.5849625007211563	0.0
65	일반복지 정책이 아닙니다. 재난지원금이면, 코로나로 인해 재난을 입은 자영업자 등 실제 피해자에게 지급해하죠! 당신도 똑같습니다. 1차, 2차 재난지원금 집행을 보면 한심한 포퓰리즘입니다. 도대체, 전국민 자녀수와 통신비가 코로나에 따른 재난과 무슨 관계가 있습니까? 약하디 약한 자영업자들 무시하는 것은 당신들도 다 똑같습니다!	1.0	1.5849625007211563	0.0
66	학원 운영자입니다 자살할까말까 계속 고민만 합니다...휴	0.0	1.0	0.0
67	여적이 어디서 나대노!!	0.0	1.0	0.0
68	경제를 잘안다면서 이롤때 예산 삭감하자고 주장하니 바보 국민들도 아는 내용을 가지고 호도하니 당신은 아닌듯.. 아직도 비행기 만드는것 보다 미국서 사면 사는게 더 경제적이다라고 주장하실듯. 좀 생각이 모자라는듯.	0.0	1.0	0.0
69	승민이 한경이 빨아주는거 보니 삼성에서 밀어주냐?ㅋㅋ	0.0	1.0	1.0
70	응원합니다!	0.0	1.0	0.0
71	니 까짓게 뭔데?	0.0	1.0	0.0
72	과연 그 '계단식'이 생각만큼 쉬울까? 집계비용 기존 특정률에서 나누는것보다 배로 더 들어갈거 뻔한데	0.0	1.0	0.0
73	슬금스금 기어나올 생각말고 집에가.	0.0	1.0	0.0
74	입 얄브네 시끄럽다. 능력도 없으면서 그만 짖고 시골에 가서 소나 키워라!! 짐덩어리들과 똑같으면서 지는 뭐나 다른 듯 위선 떨고 자파져 있는게...	0.0	1.0	0.0
75	저양반 박근혜때 아닌건 아니라고 말하면서 짤릴때 보수주의자인줄 알았는데 하는일마다 계속 어긋나는게 좀 아닌거같네요. 백신나오기 시작하는 시점인데 유동성풀어놓은거 금리낮춘거 부터 서서히 회수할수있게 안을만들어야지 더풀자고 하는거보면...보수주의자도 아닌듯.	0.0	1.0	0.0
76	선별지급하자고?  그래 좋다 세금도 내고 싶은놈만내자 어때? 그래야 공평하지? 빨갱이가 별건가 이게 바로 발갱이지 무상몰수 무상분배하자 찬성이다	0.0	1.0	1.0
77	유승민도 닭대가리입니다..불과 몇 달전에 재난지원금 지급한다고 했을때 국가부채 늘어난다고 반대했던것들이 이제는 뉴딜정책 예산 깎아서 재난지원금 주자고 떠들어요 뉴딜예산을 왜 깎냐 바보들아..니들 세비나 깎아라	1.5849625007211563	2.321928094887362	0.0
78	유승민씨, 정부의 핵심 사업인 뉴딜 예산을 삭감하자는 저의가 무엇입니까? 놀부심보에 의한 심리입니까?	1.0	2.0	0.0
79	탄핵 배신자는 좀 꺼져 찌그러져 있거라~~~!!	1.0	2.0	1.0
80	근혜때도 배신자라 겉돌아서 그런가?  현신감 없네.. ..ㅉㅉ	0.0	1.5849625007211563	1.0
81	존재감 제로	0.0	2.0	1.0
82	다음에서 친일파 좀 뭐라 몇븬했다고 영구 답글 못달게 막아버렸네요. 정부 욕하는 놈들은 다 살려놓고.유승민씨정치는 국민이 뽑아논 사람들이 하는것이지당신이 감놔라 배놔라 하는게 아니요.떠들고싶으면 시장을 나가든 구청장을 나가든 시의원 구의원을 출마하시요. 대통령감은 못되니 알짱거리지말고.그리고 당선되면 떠들든지.전동양대교수란 새끼는 언제 동양대에서 짤린거요?죽을때까지 전동양대교수가 직업일거요.시사평론가도 아니고 전동양대 석사 강사였겠지.교수는 정교수가 되야 교수지시간강사 부교수도 다 교수라부르니.자식도 일본애드만	0.0	2.321928094887362	0.0
83	유씨....국민의 짐....니들 그럴줄 알았다....재난지원금 줄려는게.....정책 삭감하려고 하는거잖아....국민들 생각은 안중에도 없는 드러운것들	0.0	2.321928094887362	1.0
84	웃긴놈이 지난번에는 지급을 하지말라면서 ㅋ 이러니깐 너가 안되는거야 ㅋ 괜히 정부 정책 트집 잡고	0.0	2.321928094887362	0.0
