中왕이 "센카쿠열도서 어선 빼자" 제안에 日 "수용 불가"	2020.11.26. 오후 6:37	가토 관방 "센카쿠는 고유영토…영유권 문제 존재하지 않아"   (도쿄=연합뉴스) 김호준 특파원 = 왕이(王毅) 중국 외교담당 국무위원 겸 외교부장이 센카쿠(尖閣·중국명 댜오위다오<釣魚島>)열도 주변 해역에 어선을 넣지 말자고 제안한 것에 대해 가토 가쓰노부(加藤勝信) 일본 관방장관은 수용할 수 없다며 거부했다.  일본 정부 대변인인 가토 관방장관은 26일 오후 정례 기자회견에서 왕 외교부장이 전날 센카쿠에서 어선을 빼자고 제안한 것에 대한 일본 정부의 견해를 묻자 "일본 정부로서는 전혀 받아들일 수 없는 것"이라고 답변했다.  취재진 인터뷰 답하는 왕이 중국 외교부장 (도쿄 교도=연합뉴스) 왕이(王毅) 중국 외교담당 국무위원 겸 외교부장이 지난 25일 오후 일본 총리관저에서 기자들의 취재에 응하고 있다. 2020.11.26 photo@yna.co.kr   앞서 왕 외교부장은 전날 도쿄 총리관저에서 스가 요시히데(菅義偉) 일본 총리를 예방한 직후 취재진에 센카쿠 문제에 대해 "어선이 반복해서 민감한 해역에 들어오고 있다"며 "이런 선박이 들어오지 않게 하는 것이 매우 중요하다"고 말했다.  일본이 실효적으로 지배하고 있는 센카쿠열도는 중국과 일본 사이의 영유권 분쟁 지역이다.  중국 관공선이 간혹 행정구역상 오키나와(沖繩)현에 속한 센카쿠열도 주변 일본 영해를 침범해 양국 사이의 외교 문제가 되고 있다.  왕 외교부장은 양측이 센카쿠열도 주변 해역에 관공선 이외 어선은 들어오지 못하게 해 사태를 개선하자고 제안했다고 교도통신은 전했다.  그러나 일본 정부는 센카쿠열도는 일본의 고유 영토로 영유권 분쟁이 존재하지 않으며, 중국 관공선의 영해 침범은 중단돼야 한다는 입장이다.  가토 일본 관방장관 [도쿄 로이터=연합뉴스 자료사진] 2020.09.16   가토 관방장관은 이날 기자회견에서 "나 자신도 (어제) 왕이 국무위원과의 회담에서 센카쿠 주변 해역에서의 중국 관공선 활동에 대한 우려를 전달하고 중국 측의 구체적인 행동을 요구했다"고 밝혔다.  그는 "센카쿠열도는 역사적으로도, 국제법적으로도 의심의 여지가 없는 우리나라의 고유 영토이며 현재 우리나라가 유효하게 지배하고 있어 센카쿠를 둘러싼 영유권 문제는 애초에 존재하지 않는다"며 "일본 어선이 우리 법령에 따라 활동하는 데는 아무런 문제가 없다"고 밝혔다. (취재보조: 데라사키 유카 통신원)  hojun@yna.co.kr  ▶코로나19 속보는 네이버 연합뉴스[구독 클릭] ▶[팩트체크] ▶제보하기  <저작권자(c) 연합뉴스(https://www.yna.co.kr/), 무단 전재-재배포 금지>	
25	독도는 대한민국 땅땅땅	0	0	0
26	중공짱깨들은 곧 무너진다. 대만이 본토를 먹는 날까지! 대만 만세!	0	0	0
27	대마도나  내놔	0	0	0
28	센카쿠는 일본 영토인데.. 이새퀴들 내정간섭 장난 아니네	0	0	0
29	그러면 앞으로 일본 느그들도 독도에 대해서입도 빵긋하지 마라	0	0	0
30	독도는 역사적으로도, 국제법적으로도 의심의 여지가 없는 한국의 고유 영토이며 현재 우리나라가 유효하게 지배하고 있어 독도를 둘러싼 영유권 문제는 애초에 존재하지 않는다. - 이 말도 진지하게 들어주면 니 소리도 진지하게 들어주마. ㅋ	0	0	0
31	옛날 일본이 우리나라에 제안했던 방법을 중국이 그대로 똑같이 하네.이제는 다음에는 중국이 옛날부터 잡던 고기가 있다고 말하면서 약올리기 하겠네.우리나라 강치처럼 지거라고 우기게 동물하나 잡아서 우기는 시점이네.	0	0	0
32	왕이 저 뱀같은 새1키는 시비걸러 왔나 ㅋㅋ	0	0	0
33	문재인씨 뭐 하는 인간이야	0	0	0
33	이나라의  대통령이자  그래도 이전 대통령보다 노력하는  사람이지요	0	0
34	독도랑 마찬가지로 센카쿠는 특정 국가의 명확한 영토	0	0	0
35	짱깨 없어져야함	0	0	0
36	ㅋㅋ 독도는 한 국 땅이라고 말하네.. 븅  웅신	0	0	1
37	미국중국 줄타기하며 아슬아슬 버티는 문재인....그런걸 나라 공산화한다고 난리치는  꼴통들....개 돼지....처먹처먹....생각없는넘들....사라지라......	0	0	0
38	니거나 빼라	0	0	0
39	아주 옳은 말을 햇구려!!	0	0	0
40	어떻게 고유 영토냐 대만 영토지 대만에 넘겨라 그리고 대만이 미해군이랑 같이 지키면 된다	0	0	0
41	중국이 쪽바리들에게 꿀밤 한대 시게 때렸으면 좋겠다.	0	0	0
42	독도는 역사적으로도, 국제법적으로도 의심의 여지가 없는 우리나라의 고유 영토이며 현재 우리나라가 유효하게 지배하고 있어 독도를 둘러싼 영유권 문제는 애초에 존재하지 않는다	0	0	0
43	일본의 발언은 우리의 독도를 인정하는 발언이다, 독도를 공개적으로 인정한다면 나도 일본을 지지한다.	0	0	0
44	2차대전 승전국의 노획물, 돌려 주는게 맞는것 같다, 하지만 장깨들은 민주주의를 모르니 족바리 느덜이 알아서 조치해라.	0	0	0
45	왕이야 일본놈들은 고래 잡아먹어야댄데   세계유일하게 고래 잡아 쳐먹는 애들하고 놀지마라 그냥 없애야할 후지산 원생이족일뿐이다!!!	0	0	0
46	우리나라는 중국에게 일본처럼 저런 단호한말은 못하지..	0	0	0
47	간단한데 문제처리...미국에게 줘버려 그럼끝나	0	0	0
48	저렇게 말하고서 중국어선은 불법 조업하겠지?그리고 우리가 손쓸 방법 없다고 배째라하겠지.우리 서해안에서 불법 조업하는 것처럼.쟤네 뻔해 개양아치들	0	0	0
49	남중국해에 대한 중국의 주장은 무력을 이용한 억지에 가깝다. 하나 독도는 말할 것도 없고, 센칸쿠열도는 미국을 뒷배경으로 한 일본의 억지이다. 이것은 중국이 통일되지 못해서이다. 만약 모택동이 아닌 장개석이 중국을 통일했다면 센카쿠열도는 중국땅이 되었을 것이고, 한반도도 대한민국으로 통일되고, 오키나와도 류쿠로 독립되었을 것이다.	0.0	1.0	0
50	서해에 들어오는 14억 미개도국 우한폐렴 바퀴벌레 싹 다 어선채로 미사일로 격침 및 기관총으로 도살시켜버려야 한다	0	0.0	0
51	일본 고유의 영토는 결코 아니죠. 현 시점에서 시정권을 행사하고 있을 뿐이죠.	2.321928094887362	2.807354922057604	0
51	발해땅  달라하까 그럼 유럽이란나라가 지들땅이어디있냐 전부 전쟁해서 만든땅인데 조선족이냐	0	0
51	독도를 우리 땅이랑 조장하는거랑 배치 되는 발언이다 이 짱깐나야?	0	0
51	욕지꺼리 날리는 거 보니 smgu****는 진성왜구나 토착왜구인가? 꼴통 꼰대놈들이 감정 앞새워 욕지꺼리 앞세우곤 하지.	0	0
52	어선에 기관포 날리고 섬은 미사일로 날려서 없애버리는 방법이 최고일듯 둘이 한판 붙어라 무기는 우리가 팔테니까	1.0	2.0	0
53	일본 화이팅 오키나와 제도랑 같은 경도인데 당연히 일본땅	0	1.0	0
