전세난이 끌어올린 소비자물가, 장바구니 부담까지 ‘이중고’(종합)	2020.12.02. 오전 11:16	통계청 11월 소비자물가동향, 집세 상승폭 2년5개월만 최고 농축수산물 4개월째 두자릿수 상승세, 석유류 제품은 하락세 코로나19 재확산에 교통·교육 등 부진, 디플레 우려 여전 [세종=이데일리 이명철 기자] 수도권을 중심으로 한 전세난이 소비자물가마저 끌어올린 것으로 나타났다. 전세매물 품귀로 전세가격이 급등하면서 물가지표에도 영향을 미친 것이다. 농축수산물 가격도 주춤하긴 했지만 여전히 두자릿수로 상승세를 이어가고 있어 서민들의 가계 부담을 키우고 있다. 반면 코로나19 충격이 지속되면서 교통·교육 등 다른 분야의 부진은 심화하는 등 경기 침체에 따른 디플레이션 우려는 여전하다는 판단이다.  지난 1일 세종시 한 공인중개사 유리창에 아파트 매매가격표가 붙어 있다. 연합뉴스 제공 가을철 전세난 심화…근원물가도 덩달아↑  2일 통계청이 발표한 11월 소비자물가동향에 따르면 지난달 소비자물가지수는 0.6%(전년동월대비) 상승했다.  소비자물가지수는 10월 4차 추가경정예산(추경) 사업인 통신비 2만원 지급 영향으로 0.1% 상승에 그친 바 있다. 이후 통신비 지급 효과가 마무리되면서 상승폭을 0.5%포인트 키웠다. 다만 상승폭 자체는 두달째 0%대를 기록하며 저물가 기조를 지속했다.  안형준 통계청 경제동향통계심의관은 “국제유가 하락에 따른 석유류 가격 하락, 교육 분야 등 정책 지원에 따른 공공서비스 가격 하락, 사회적 거리두기에 따른 외식물가의 상승폭 제한 때문에 전체 저물가가 이어지고 있다”고 분석했다.  물가의 기조적 흐름을 보여주는 근원물가(농산물 및 석유류 제외지수)는 1.0% 올라 올해 상승폭이 가장 컸다. 근원물가가 1.0% 이상 오른 것은 지난해 2월(1.3%) 이후 처음이고 동월 기준으로는 2018년 11월(1.4%) 이후 2년 만이다.  경제협력개발기구(OECD) 비교 기준 근원물가(식료품 및 에너지 제외지수)는 0.6% 올랐다. 10월(-0.3%) 21년여만에 역성장했다가 한달만에 상승 전환했다.  전월세값 급등은 근원물가 상승폭을 키우는데 영향을 미쳤다. 지난달 집세는 0.6% 올라 2018년 6월(0.6%) 이후 2년 5개월만에 가장 크게 올랐다. 전세는 0.8%, 월세는 0.4% 각각 상승해 2018년 12월(0.9%), 2016년 11월(0.4%) 이후 최고치를 기록했다.  최근 아파트 전세시장은 계약갱신청구권 등을 포함한 임대차3법 시행 영향으로 매물 부족과 전셋값 상승세를 겪고 있다. 한국감정원에 따르면 지난달 전국 주택 종합 전세가격은 전월대비 0.66% 올라 2013년 10월(0.68%) 이후 가장 큰 상승폭을 보였다. 수도권 상승폭은 0.74%로 더 크다.  통계청의 집세 조사는 매월 초순 표본 1만가구를 조사해 이중 계약을 갱신했거나 신규 계약을 체결한 가구의 전세가격에 가중치를 적용해 반영한다. 상승폭은 감정원의 조사와 다를 수 있지만 상승세나 하락세에서는 통상 비슷한 흐름을 보인다.  이두원 통계청 물가동향과장은 “근원물가가 오른 이유는 최근 집세 상승세가 원인 중 하나”라며 “축산물이나 승용차 등 비내구재 상승도 (근원물가 상승에) 영향을 미쳤다”고 말했다.  통계청 제공 경기 침체 지속하는데, 국민 체감 물가만 올라  가격 변동을 민감하게 느끼는 품목으로 작성한 생활물가지수는 0.1% 내려 두달째 하락세를 이어갔다. 식품(3.7%)이 올랐지만 식품 이외가 2.3% 내린 영향이다. 신선식품지수는 13.1% 올라 8월부터 4개월 연속 두자릿수대 상승세를 이어갔다. 신선과실이 25.1% 급등했고 신선어개(생선·해산물)와 신선채소는 각각 7.1%, 7.0% 올랐다.  품목성질별로 봐도 농축수산물이 11.1% 오르며 4개월 연속 10%대 상승폭을 나타냈다. 가을배추·무 등의 출하로 수급이 안정세를 찾으며 상승폭 자체는 전월에 비해 축소했지만 장바구니 부담은 여전히 높다는 판단이다.  품목별로는 양파(75.2%), 파(60.9%), 사과(36.4%), 고춧가루(30.8%), 돼지고기(18.4%), 국산쇠고기(10.5%), 쌀(9.7%) 등이 상승했다.  공업제품은 저유가 기조 영향으로 0.9% 내려 8개월째 하락세를 지속했다. 경유와 휘발유가 각각 18.9%, 14.1% 내렸고 TV는 7.7% 하락했다. 기능성화장품(7.3%), 수입자동차(5.1%), 대형승용차(3.5%) 등은 상승했다. 도시가스와 지역난방비가 각각 10.3%, 2.6% 내리면서 전기·수도·가스도 4.1% 하락했다.  지출목적별로 보면 식료품·비주류음료(6.9%) 등은 상승한 반면 교통(-4.3%), 교육(-2.1%), 통신(-1.6%), 오락·문화(-0.5%) 등은 하락했다. 지난달부터 코로나19가 재확산하면서 민간소비가 다시 위축돼 물가 상승폭을 제약한 것으로 풀이된다.  성태윤 연세대 경제학부 교수는 “경기 침체에 대한 디플레이션 우려는 상존한 가운데 생활에 필수적인 전세가격이나 농산물 등은 올라 국민들의 체감 물가는 상당히 올랐다”며 “코로나19 상황이 지속돼 경기가 계속 가라앉는 상황으로 고용 축소에 따른 가처분소득 감소 등이 하방 압력으로 작용할 수 있을 것”이라고 말했다.  통계청 제공   이명철 (twomc@edaily.co.kr)  ▶ #24시간 빠른 #미리보는 뉴스 #eNews+ ▶ 네이버에서 '이데일리 뉴스'를 만나보세요 ▶ 빡침해소, 청춘뉘우스 '스냅타임'   ＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞	
15	아직도 아파트 공급하지 않는 문재인 정권.  이번달 수도권 아파트공급 0 이다.  이런 야바위 정권을 180석이나 뽑아준 인간들은 도대체 누구냐.  반성 좀 해라.	2.0	0.0	0.0
16	문통과 민주당 뽑고 지지하는 애들아 원하는대로 되어서 축하해!	2.0	0.0	0.0
17	문재앙 독재정권이 돈 찍어서..뿌려대니...베네수엘라 처럼...집값 등....물가가 당연히 폭등하지....과ㅏ거..독일, 짐바브웨 처럼..선례가 명백해도...돈 찍오대고...대깨문 개돼지들 좋다고..광분을..	2.0	0.0	0.0
18	대한민국 망했네....안올라가는게 없네...물가도 폭등, 부동산도 폭등, 전월세도 폭등, 세금도 폭등하는데 수입은 없어....베네수엘라꼴 났네 났어...그래도 일본은 부동산 폭락시기에 물가라도 잡았지만 한국은 모든게 폭등이여서 망했어...잡을수가 없다...문끌하지 않는이상...	2.0	1.0	0.0
19	축하합니다 벼럭거지~~180개 우동사리들이 해냈네요	1.5849625007211563	0.0	0.0
20	누굴 탓 하냐 대선때 문재인 뽑고 총선때 민주당에 180석 몰아준 개돼지들이 원한 나라인데	1.5849625007211563	0.0	0.0
21	좌파들은 경제라는게 밀접하게 연계되어 있다는 사실을 이해하지 못한다. 단편적으로 눈앞에 있는 현상에만 의지해 판단을 하니 항상 결과가 틀리게 나올수 밖에 없는거. 지금이라도 좌파들은 최소한 경제에 있어서는 입닥치고 살아가길 바란다. 당신들 가족을 위해서라도!!	1.5849625007211563	0.0	0.0
22	내손가락을 잘라버리고싶다. 박통보다 더한 독재자들	1.5849625007211563	0.0	0.0
23	뉴스에서는 물가가 내렸다고 하더니  완전히 뻥이였네 일자리는 없어서 소득은없고 물가 오르고 세금뜯어가고 최악의정부	1.5849625007211563	0.0	0.0
24	이건 최저임금... 정권초 2년에 30%나 올렸을 때 이미 예견된 상황이다... / 임금이 30% 올라 봐.. 결국 어디서 오르겠냐?... 이러니 아마추어란 이야기 듣지...	1.5849625007211563	1.0	0.0
25	한마디로 민주당 문재인 찍어 경제는 골병드로 민생파탄 됐다는 말!. 찍은자들은 그 책임을 져야한다.	1.0	0.0	0.0
26	더듬어민주당 문재앙은 임기내 세금 갈취한거 밖에 없다	1.0	0.0	0.0
27	재앙이다  재앙	1.0	0.0	0.0
28	빨리 이정권이 끝나기를 기다린다 촛불을 왜 들었을까?	1.0	0.0	0.0
29	문죄앙이 그랬데요~	1.0	0.0	0.0
30	쌩유~ 재앙아. 너때문에 집값, 전세값 폭등되서 살기 너무 좋아졌어 ㅎㅎ	1.0	0.0	0.0
31	5~6천원 하던 사과한봉이 이제 9,900원. 월급 반토막효과 제대로 나네요.	1.0	0.0	0.0
32	통계청장 또 짤리겠네 문재인 입맛에 맞게 조작해서 올려야지ㅋ	1.0	0.0	0.0
33	3년만에 나라 다 말아먹네.	1.0	0.0	0.0
34	문재인이는 대통령감이 아냐~ 걔는 아베처럼 시진핑처럼 푸틴처럼 트럼프처럼 그런 잡것들처럼 안돼~ 미국에 바이든 자유대한민국에 막강한 지도자가 국민 모두에게 이것이 사람삶의 기준이고~ 더 나아가며 모두가 함께 간다고 할분이 곧 나올터~ 잠시 기달!	1.0	0.0	0.0
35	아주 디지겟다. 올라간건 떨어지질 않고. 돈 버는 건 늘 같고.  니미럴	0.0	0.0	0.0
36	참 별걸 다엮는다. 코로나 덕에 미국에서 달러풀고 한국은행에서 돈풀어 글로벌 자산상승이 벌어지는 있는 이와중에 전세때문에 물가가 오르냐? 정신나간놈들	0.0	0.0	0.0
37	임대전세 들어가서 분양들어가세요 기레기 뉴스에 흔들리지 마세요	0.0	0.0	0.0
38	대깨문 대가리 깨지는소리가 너무 찰지다 문재인 한번더 집권해서 나머지도 깨졌으면좋겠다~	0.0	0.0	0.0
39	이런 뉴스를 보면 문재인보다 문재인 추종하는 대깨문이 더 문제라는 생각이 든다. 마치 조두순이 원래 나쁜 사람이라는 것은 누구나 다 아는 사실이지만, 조두순을 칭송하는 사람이 더 나뿐 사람이다. 왜나면 조두순 같은 놈이 되거나 제2의 조두순 양산할수 있기에,	0.0	0.0	0.0
40	물가안정없구..전세집..늘리기..부동신갑..안정시키기...그런거없나...집도..불안정..물가는..오르고..갈대는없고..뭐하는건지..말로만..하는지..참..힘들다..정말..직업도..코로나..가..장기간..오래가구...행복은..어디에...잇나..	0.0	0.0	0.0
41	ㅎ 다 이게 재난지원금에 속아 넘어간 표값이지, 이래도 다음에 백신과 재난지원금에 민주당 대통령 찍으려나??	0.0	0.0	0.0
42	거덜나는거 정말 순식간이네..	0.0	0.0	0.0
43	그니까 뭐든함부로바꾸면 안돼는거다  충분한 논의와 시범 운영을거쳐해야지 무슨 정책이  게임이니? 무자르듯 칼질해노으니 나라꼴봐라 집갑올라~ 물가올라~ 인건비올라~ 일자리는없어~ 세금은폭탄이고~ 이게뭐냐고 ~ 이게뭐냐고	0.0	0.0	0.0
44	훠훠~ 여러붠들이 찍어주셔서 괌사합니다 훠훠~	0.0	0.0	0.0
45	임금 동결인데 큰일났네 라면만 먹고살아야하나. 안뽑은 사람은 무슨 죄. 에휴	0.0	0.0	0.0
46	나라다운 나라 살아보니들 어때? 좋아?ㅋㅋㅋㅋㅋ	0.0	0.0	0.0
47	국민한테 주권이 있으니까 주권을 행사하여 따라오는 결과에 승복하지 않으면 압착기에 머가리 집어넣어야 하는거 알지?	0.0	0.0	0.0
48	시장에서 알아서 자연스럽게 조정될수있는 판에 세상 무식한것들이 뛰어 들어서 빵으로 집을 만든다 하질않나....정말 엉망진창 한법도 경험해보지 못한 나라를 만들어 놓고 있네....	0.0	0.0	0.0
49	이게 나라냐	0.0	0.0	0.0
50	기레기들 부동산 매물이 넘쳐나니~ 전세가 올라 물가도 올랐다고 소설을 쓴다~  부동산 하락이 보이는 현실은 무시하고~ 그저 월세가 올랐다고~ 전세가 올랐다고~ 세금이 올랐다고~ 욕만 한다. 거품이 너무 많은 전세시장으로 조만간 역전세 현상이 나올 것이다. 이런 역전세 현상도 정부를 욕하겠지.......에휴~	0.0	0.0	0.0
51	스테그플레이션이구만.... 한은은 아니라구 하지만...모니터링 하고 있다구했나?스테그가 왔구만...	0.0	0.0	0.0
52	집없는 사람은 삼중고구나. ㅠ.ㅠ. 집없어서 자산가치 하락에, 전셋가 급등에, 이젠 물가마저 급등이네...	0.0	0.0	0.0
53	거두절미하고....한마디로 문재인 때문에 거덜났단 소리다	0.0	0.0	0.0
54	식품물가만이라도 안올랐으면....	0.0	0.0	0.0
55	전세 종말기에 살인적인 월세시대 맞이하면 서민들 곡소리 날듯하다	0.0	0.0	0.0
56	헬 헬 헐...	0.0	0.0	0.0
57	세금 올리면 물가도 오른다고 말했잖아. 부동산 세금 올리면 부동산에만 해당되는게 아니고 한국경제 전체에 영향을 주는건데.. 서서히 물가 상승율 대로 올려야 되는데...벼룩 잡겠다고 초가삼간 다 태우네. 핀셋으로 특정 집단만 골라내야되는데 전국토를 전국민을 들쑤셔 놨네. 나중에 어떻게 감당하려고 그러는지 참 답답하다. 공부 많이 하고 높은 자리에 있는 사람들이 너무 단순하고 쉽게 편한길로 가려고 생각한다.	0.0	0.0	1.0
57	다주택자들  종부세  대상늘려라  지방수백만 다주택자 50~60억 순수차익  불로소득자  주위에 널렸다  서울강남만 잡지말고	0.0	0.0
58	집값  오른 분들은  주댕이 찢어졌네요 요즘	0.0	0.0	0.0
59	우리나라는 민주주의 국가 맞나? 국민의 의식주를 해결하지 못하는 인간들이 왜 지도층에 앉아서 국민들로부터 월급받아 먹고 있는 것인가? 백성이야 집없이 떠돌아다니든 말든 귀족들만 잘먹고 잘사는 왕조국가인가?	0.0	0.0	0.0
60	이제 금리인상해서 호흡기 떼자	0.0	0.0	0.0
61	기준금리   3이상 올리고	0.0	0.0	0.0
62	대깨문들은 개돼지(서민)에서 가붕개(천민)으로 재앙이가 다운 시켰으니 닭장에서 배급 받으면서 잘살아봐라.	0.0	0.0	0.0
63	우리 동네에 100M 도 안되는 아이스크림&과자할인 무인점포가 3개나 있다. 도대체 최저시급을 감당할 수 없으니 이런 것들만 생기지... 지금이라도 최저시급 합리적으로 쳐내리고 알바들을 일 할 수 있게 해라. 생필품 가격은 다 오르고... 나라가 이게 뭐냐.	0.0	0.0	0.0
64	종부세 올려서 월세는 그대로갈것으로 생각하는 새대가리들 ..봐라 월세가 얼마나 올라가는지를	0.0	0.0	0.0
65	생필품가격이 엄청올랐는데..집값은 안오르나..9백원짜리가 천오십원으로오르면 몇퍼센트가오른거냐..홍가야.코스트코 이마트등을 가봐라. 서민도모르는사이 얼마나 올랐나..고들빼기한단에38백원하던게 7쳔8배원으로 올랏는데. 알고는있는거냐..홍장관아	0.0	0.0	0.0
66	'문속망' 문재인에게 속아서 나라 망쳤다.	0.0	0.0	0.0
67	내가 사야할 집은 오르면 OOO라 되고...ㅋㅋ내가 팔아야할집은 떨어지면 OOO라 되는데...ㅋㅋ	0.0	0.0	0.0
68	이자내느라 장볼돈이 없어	0.0	0.0	0.0
69	급여도 최저 급여도 못받는데.. 물가만 여기저기서 다 오르네..지원 받는것도 기업만 받는거지.. 직장인은 받지도 못한다.	0.0	0.0	0.0
70	서민 다죽이네ㅋㅋㅋㅋ	0.0	0.0	0.0
71	청와대에선 자기들이 파라다이스 만들고있다고 자축할걸!	0.0	0.0	0.0
72	이제 슬슬 문정권의 끝이 보이기 시작한다 시작은 창대하였으나 그 끝은 비참하리라 ~ 장담한다  ㅋㅋ ^^	0.0	0.0	0.0
73	디플레  막으르고  아파트값 올리는거다ㅡ인플 레냐?디플레냐?모든  물가는 디플레고  주식과 아파트만  인플레다ㅡ이젠  망하는  수준까지  온거다ㅡ	0.0	0.0	0.0
74	자 이제 소비자물가 까지 오르면 무슨뜻인지 아시죠? 현금 값어치가 폭락하는거에요~ 2년전 1억이 지금 8천쯤 되는겁니다 돈 갖고있어봐야 돈값어치만 떨어져요 투자를 하세요~	0.0	0.0	0.0
75	붙어있는 매물이 많네. 쌓이고 있는 건가.	0.0	1.0	0.0
76	은행들 예금이자나 좀 잡아주지..이자가 없는거나 마찬가지다.	0.0	1.0	0.0
77	댓글 알바 인건비도 오르나 몰라..  ㅎ	0.0	2.584962500721156	0.0
