[종합] 코로나3차 대유행 공포…신규확진 569명 이틀째 500명대	2020.11.27. 오전 9:50	국내 신종 코로나바이러스 감염증(코로나19)의 '3차 대유행'이 본격적으로 진행되면서 27일 신규 확진자 수는 또다시 500명대를 나타냈다.  전날(583명)에 이어 이틀 연속 500명대를 기록한 것이다.  이틀 연속 500명 이상 확진자가 나온 것은 대구·경북 중심의 '1차 대유행'이 한창이던 3월 초 이후 약 9개월 만이다.  정부와 감염병 전문가들은 지금의 확산세를 꺾지 못하면 하루 1000명 이상 확진자가 나올 수도 있을 것으로 내다보고 있다.  중앙방역대책본부는 이날 0시 기준으로 코로나19 신규 확진자가 569명 늘어 누적 3만2887명이라고 밝혔다. 전날(583명)과 비교하면 14명 줄었다.  방역당국이 3차 유행을 공식화한 가운데 국내 코로나19 확진자는 빠른 속도로 늘고 있다.  이달 들어 일별 신규 확진자 수는 124명→97명→75명→118명→125명→145명→89명→143명→126명→100명→146명→143명→191명→205명→208명→222명→230명→313명→343명→363명→386명→330명→271명→349명→382명→583명→569명 등이다. 지난 8일부터 20일 연속 세 자릿수를 이어간 가운데 300명을 넘긴 날은 9차례고, 500명대는 2차례다.  신규 확진자 569명의 감염경로를 보면 지역발생이 525명, 해외유입이 44명이다.  신규 확진자가 나온 지역을 보면 서울 204명, 경기 112명, 인천 21명 등 337명이다. 수도권 지역발생 확진자는 전날(402명)보다 65명 줄었지만, 300명대를 기록하며 전체 지역발생의 64.2%를 차지했다.  비수도권의 경우 경남이 38명으로 가장 많고 이어 충남 31명, 전북·부산 각 24명, 충북 19명, 광주 13명, 전남 10명, 강원 8명, 울산 7명, 대전 5명, 세종·경북·제주 각 3명이다.  해외유입 확진자는 44명으로, 전날(30명)보다 14명 늘었다.  한편 사망자는 전날보다 1명 늘어 누적 516명이 됐다. 국내 평균 치명률은 1.57%다.  [김현정 기자 hjk@mkinternet.com]  ▶ 네이버 메인에서 '매일경제'를 받아보세요 ▶ 궁금한 제조과정 영상으로 보세요. '이렇게 만들죠' ▶ 매일매일 색다른 뉴스레터 '매콤달콤' 구독하세요  [ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]	
3	다 굶어죽자 스트레스받지말고ㆍㆍㆍ	0	0
4	외식쿠폰.숙박쿠폰등..공무원들 회식.모임등.. 무능한 정부. 맨날 나라 분열만 조장하는 정부..꼴통 문빠들..	7.0	2.807354922057604	4
4	ㄹㅇ로 집앞에 맛집하나 있는데 시국이 이지롤인데도 사람 허다하다 정신 못차린다 진짜 맛탱이가	0	0
4	나라탓 하는 ㅂㅅ너는??보수단체??국민의짐??토착왜구???아 일베구나??	0	0
4	틀	0	0.0
4	누구장단에 맞추라는건지~~~~	0	0
5	문재인  진짜 아낌없이 주는 나무네 중국은 혈장검사 검사2회 실시 조치하는데 우리나라는 아무런 조치도 안하고 무료로 치료비 내줌 그리고 7일연속 100명 갔을때 1.5든 2단계 올렸어야지 에효	6.247927513443586	2.0	1
5	习近平，试一试狗崽子	0.0	2.321928094887362
6	곧 1000명대가 코앞인데 추미애는 검란이나 일으키고 문재인은 중국신하에게 굽신거리기나하고 백신은없고 민노총집회는 허가해주고... 나라꼴 잘 돌아간다.	5.169925001442312	0.0	0
7	메르스사태때 문재인 대통령은 뭐라했나?무능한 정권이라고 안했나?그렇케 비판하던 전정권을 본인은 더 심하게 치르고있다.메르스때 국민들이 마스크 얼마나 쓰고다녔나?메르스때 초기에만 병실문제 삼성병원 사태빼곤 조용했다.이동병원이 수시로 다니면서환자파악했다.그리고 이맘때쯤에는 사망자.감염자.퇴원하는사람들 전부 줄어들었다.메르스때 3차감염이란 말이 있었던가?일년쯤전에 바이러스 환자는 줄고 퇴원만했다.사망자는 지금의 몇배나 줄었다.문재인 정권은 재앙이다.빚잔치로 사업만 넖히는분이 예전두정권보다 사업비가 혼자 더많게쓰고계신다.그런분이누굴욕하나	4.954196310386876	0.0	0
8	대구때는 진짜 사람이 없을정도..번화가도 횡햇었는데..서울 경기 수도권 번화가 나가봐 ..젊은이들 아주바글바글..참네..진짜 개념없는 젊은애들투성이 드라	4.321928094887363	0	1
8	와 그러네요. ㅁㅊ...	0	0
9	다들 K방역이라 부르시던데  이제는 T(대구)방역이라 부르시는게 정답입니다.  @@@코로나 청정도시 대구 화이팅!!!!!!	3.700439718141092	0	0
10	민주노총 집회관련 확진자 언급은 없네.	3.4594316186372978	0	0
11	결국 사태의 원인은 행정부에서 책임을 지는 것이 맞는 겁니다 . 최종 책임의 주체는 정부가 되는 것이 맞는 것입니다. 행정부의 수장을 국민들이 뽑는 것은 그 만한 책임 과 권리를 위임한 것이기에 바이러스와 같은 우발적인 사태라 하더라도 그에 따른 대응을 해야하는 의무는 정부에 있고 이를 이행하지 못하고 실패하게 된다면 국민들은 이에 대해 비판할 권리가 있는 것입니다 현정부를 지지하는 사람들이라도 정권에서 잘못하고 있다면 무조건적으로 감싸는것이 아니라 적절한 비판을 해야 경각심을 가지고 정부에서 반응을 보이고 대처를 할것입니다	3.3219280948873626	0	1
11	키아 이게 전세계에서 칭송받는다는 k 방역이죠?? 진짜 멋잇네요 자랑스런 대한민국대통령 잘못뽑아서 나라망친케이스에 자랑스런 k방역과 함께 들어가겠네 ㅎㅎㅎㅎㅎㅎㅎ 진짜 허탈 합니다	0	0
12	3단계로해서라도 빨리 끝나길~~~	3.3219280948873626	0	0
13	네글자로 설명해준다. 방.역.실.패. 전세계적으로 이렇게 국민 의식과 참여율이 높은 나라가 없는데 자영업자들고 다죽이고 방역도 실패함	3.3219280948873626	0.0	0
14	식당 가지말고 일 마치면 집에 바로 갑시다	3.1699250014423126	0	0
15	오잉 오늘 대구 한명도 안나왔네 ㅋㅋㅋ 이제 서울 경기가 대구보다 더많이 나오네 음...	3.1699250014423126	0	0
16	보수꼴통 집회 관련 확진자는 집요하게 통계내더만 어째 민노총 집회 확진자는 일언반구도 없나??	2.807354922057604	0	1
16	촛불집회 일등 공신 이거든요.	0	0
17	적어도 수도권은 2.5 단계 이상 격상해야 하고 타지역도 2단계로는 올려야 맞다고 생각하네요.	2.584962500721156	0	0
18	그동안  검사 안하던걸 왜? 이제사 검사수 늘리고 확진자 늘리지? 광화문 집회에 성난 민심 못오게 트릭 쓰는 느낌. 나만 그럴까?	2.321928094887362	0	0
19	찹찹하지만 대한민국에 답이 있나싶다.. 갈수록 살기 힘들어지노 다들 마지못해 살기에 후	2.584962500721156	1.0	0
20	3단계로 격상시켜 코로나확산을 조금이라도 막는 노력이 필요합니다.확진자가 많아지면 경제는 더 안좋아집니다.제발 격상시켜 주십시요.긴급재난금 적국민지원으로 매도 하지 마시고 격상으로 인한 피해 소상공인에게 지원합시다.제발~~~~~	2.0	0	0
21	문통 이쯩되면 한마디 해야하는거 아녀?  곧 종식된다고  설레발 치더니만~^^	2.0	0	0
22	3단계 해서 잡으세요	1.5849625007211563	0	0
23	천안사는데요 두정동이라는 먹자골목이있습니다. 어제밤이에갔는데 코로나가 하루확진자가 1000명이 안나오는게 이상할정도였습니다. 젊은친구들 마스크는 턱에만 걸치고 여기저기 담배피우고 서로 껴안고 뭐 난리도 아니더라구요 곧 1000명찍지않을까 예상합니다. 정신차립시다 순간의 욕구때문에 지치는 시간만 길어집니다. 코로나 극복은 정부가 하는게 아닌 우리스스로가 만드는겁니다.	1.5849625007211563	0	0
24	정부는 코로나 끝날까봐 더 두려워하는 것 같다 국민들 목숨이 달렸는데 백신 확보도 가격 조절한다면서 배짱 부리지 않나 확진자가 매일 500명 넘어서는데도 거리두기 단계 조정의지도 않보인다 그냥 계속 이런 공황상태로 집회도 못하고 정권 유지하려나 보다 예전 보수들은 불안하면 빨갱이탓 반공 부르짖었는데 좌파들은 그걸 그대로 보고 배워 코로나로 정치 참 쉽게 하는 것 같다	1.5849625007211563	0	0
25	해외도 안막고 중국은 우리나라 사람한테 혈장검사 검사2회 실시하는데 우리는 중국인 무료검사 ㅋ 참 잘도 돌아간다 그리고 7일연속 100명 넘어갔을때 1.5  2단계 갔었어야지 그리고 코로나 끝나면 문재인 심판해라 왜 해외는 안막았으며 강력한 조치는 안하는지 ㅉㅉ	1.5849625007211563	0	0
26	이번에는  전국확산된 코로나 감염자들  민노총에 핑계도  못대고  완전 쩔쩔매고 있는  문통정부   ㅋ  ㅋ	1.0	0	0
27	민노총   집회 창가자  확진자  몇명인지  말해라	1.0	0	0
28	급한대로 서울 경기 두 지역만 집중관리하면 안 됩니까? 인천도 확진자들 보면 다 서울 경기 확진자 접촉으로 나오던데...	1.0	0	0
29	정부가 이지경으로 만든거지 누굴 탓하겠냐 ㅋㅋ	1.0	0	0
30	대통령 비서실장 노영민 말씀 하시길  : 여러분 전국에서 몰려 오는 민노총 살인자들 때문 입니다.	1.0	0	0
31	좋은 말 할때 3단계로 올려라	1.0	0	0
32	민노총집회 허가하는이정부하곤 민노총 확진자 발표해라	1.0	0	0
33	민노총 집회 왜 안막냐 하....	1.0	0	0
34	그렇게 전문가들이 겨울에 코로나 폭팔한다고 얘기해고 대비해야 한다고 했는데 말을 들어처먹어야지 문재인	1.0	0.0	2
34	너같은 놈들이 말을 들어 처먹어야지! 뭐만 하면 트집 잡으면서... 달린 입이라고... 한심한 놈!	0	0
34	문슬람샡끼	0	0
35	죽을일먼남았네	0.0	0	0
36	정부는 이렇게 늘어나는데도 관심도 없고..	0.0	0	0
37	800명 가즈아!!!!!!!!!!!  700오바에  올인 ㅋㅋㅋㅋㅋㅋ	0.0	0	0
38	전국으로 퍼지는거 보니까ㅜ민노총 애들맞네	0.0	0	0
39	이번 3차 대유행은 할로윈의 영향같다. 시기도 할로윈 끝나고 몇주 안지났고, 젊은 층을 중심으로 유행하니까 거기에 아이들도 감염되는 거 보니까.. 할로윈이 원인인 거 같다.	0.0	0	0
40	코로나는 심해지는데 이 쓰레기 정부와 기사는 온통 추미애 윤석열 기사뿐이고 문재인은 아무런 말이 없구나!! 박근혜나 이명박이나 문재인이나 다 똑같은 인간들이자뭐~~~	0.0	0	0
41	코로나공포정치	0.0	0	0
42	이번 주말이 고비라네요.수도권 주말전에 2.5단계 격상갑시다.	0.0	0	1
42	맨날 고비래 진짜ㅋㅋㅋㅋㅋ	0.0	0
43	ㅋㅋㅋㅋㅋㅋㅋ 역대 최고의 빙47838신 세대인 2030이랑 민주노총이 한건 제대로 했구만	0.0	0	0
44	정부 진짜 뭐하냐!!! 전국 2단계 해야지!!!주말이라고 답답하다고 죄다 돌아다닐껀데 수도권만 한다고 될일이냐!!!!	0.0	0.0	0
45	쫌 모이지 말라면 모이지 말면 않되나? ㅎㅎㅎ	0.0	0.0	1
45	않 아니고 안	0	0
46	이와중에 대구만 확진자 없음~~대단한 시민의식	0	0	0
47	문재인 뭐하냐?	0	0	0
48	장난으로 단계를 만들지말고 첨부터 3단계로햇어야지 확산되면 단계높이고 일반감기도아니고 바이러스위험도를보면서 단계갖고 높인다 낮춘다 장난쳐라 한심한것들	0	0	0
49	정은경본부장도 내려와 이제ㅋㅋ	0	0	0
50	은경아 숫자 관리 잘해라. 통계청장 목 잘 린 것 잘 알잖니. 관리하는 게 이 숫자냐?	0	0	0
51	안끝난다 이제 시작	0	0	0
52	서울 ㅡ대구 욕하더만 ~~이제는  서울느그 우짜노코로나 너희집 대문앞대기중이내 ㅋㅋ	0	0	0
53	3단계 가라	0	0	0
54	전국으로 확대하라고 지금 수도권만 문제냐? 이동제한도 아닌데 수도권만 올린다고 참이나 잡히겠다~~~	0	0	0
55	정치코로나제발그만좀해라 재인아...	0	0	0
56	해외  유입 꾸준한데  .. 입국하자 마자 지정격리 안하고  스스로 집  까지 가게하고  자가격리 , 그러고도   방역이냐? 미친 것들	0	0	0
57	대구 봉쇄하자는 사람들 어디? 대구만 0명이네	0	0	0
58	대구 봉쇄하자는 사람들 어디? 대구만 0명이네	0	0	0
59	아 걱정 하덜덜마~~~~! 우리 나랏님이 다~!~~ 지켜주실팅께!! 이게 다 우리를 위해서 하는 것이여~~~!!	0	0	0
60	이것이 K방역이 얼마나 허점이 많은지 적나라하게 보여지는 것이다!!!!!!	0	0	0
61	3단계 바로가나요~~	0	0	0
62	친중 대깨문들은 백신 급하니까 중국제라도 도입하자로 여론몰이 하겠지. 어쩐지 화이자 모더나 백신 확보에  관심 없더라.	0	0	0
63	단 열흘이라도 셧다운하자 사람이 살아야 나라가 돌지 지금 나라경제 각정할때냐	0	0	0
64	1주일이라도 단계높여서 시행해야한다  이러다 다죽을수도있지ㅠ	0	0	0
65	다음 달은 달창들이 이뻐하는 민노총 집회 영향 ? ? ? 기대 된다 ㅋ	0	0	0
66	지금까지  매주 수만명 관광객이 와도 동선겹친자들 음성판정받고 나름 청정지역이었던 여수가 조금씩 확진자 나온거보면전국적 대유행 맞다	0	0	0
67	단계 올리라는 새끼들 특 재택근무 또는 잼민이들 학교가기 싫어서 그런거잖어 안봐도뻔하지	0	0	0
68	담주 월욜부터 한달간 3단계 가자~	0	0	0
69	ㅋㅋㅋㅋ이게 케이 방역인 거죠??ㅋㅋㄱㅋㅋㅋㅋ	0	0	0
70	지금 3단계해서 잡아야지... 시간 끌다가 다 태워먹는다ㅡㅡ	0	0	0
71	코로나 위기 속 민노총  파업 수수방관하는 정부여당은 자기 배만 불리며 땅투기 집투기로 자기 배만 불리고 있다. 민주주의의 탈을 쓴 도적떼들!	0	0	0
72	민주당이새기들아 문씨 탄핵가즈아	0	0	0
73	3차 펜데믹 온듯..가즈하	0	0	0
74	문화쿠폰 뿌릴때부터 알아봣다 세금을 공중에 뿌리는 개 상넘들	0	0	0
75	약나오기전까지 힘들겠다	0	0	0
76	코로나 잡는다고 쇼하고 자영업만 폭망이다 종부세 올려 세금은 늘고 국가는 국민 피빨고 그래도 민주당 편들고 자빠졌다 모지리들	0	0	0
77	좌파쓰레기정권!!!코로나로 실컷 국민들 이용해먹고 민노총집회는 모른척하고 광화문집회는  살인자취급하고 ㅠㅠ	0	0	0
78	해외 유입좀 막아줘요	0	0	0
79	정부 이늠들 감염학과 의사들 말 들어라~지금은 전국적으로 다 퍼졌기때문에 예전이랑 틀리다~검사만 안받았지 확진자가 어마 어마 할꺼다~	0	0	0
80	공포라는 말은 아니지?무슨 대재앙 온것처럼 ..차차 줄어들거라 생각합니다.무능력 정부  꺼지고 방역은 오히려 국민들이 하고있네요..모두 힘내세요	0	0	0
81	삼성다니는데 코로나 확진자 생겼다 3단계로 올려라 ㅡㅡ	0	0	0
82	문재앙이 이 처죽일새끼야!! 나라가 이지경까지왔는데 니놈이 지금 짱깨새끼들 만나서 처웃고있을때야!!	0	0	0
83	민노총을 가리기위해 이런저런 쿠폰을 막 뿌려대서 시민들 탓으로 돌리는 참 무능하고 안타까운 정권	0	0	0
84	이참에 최고단계로 격상하자 어짜피 이리되나 힘든건 마찬가지인데 얼랑뚱땅 넘어갈려고 하지 말고...	0	0	0
85	진심 집회 안막고 검토 몇주하고 등교 유지에 거리두기 강화 안해서 그럼 뭔 200명이 넘어가고 집회허락하고미쳤나 안그래도 위험한ㄷ 이시국에 집회 ㄱ같은 소리하네 등교랑 거리두기는 빨ㄹ 해야지 학생들 ㅈㄴ 걸리고 교사 걸리고 꼬리 물기하잔아 지금 불쌍 수능생들 봐라 시험도 못보고 걸리고 아파서 고생만 하네 진심 중요한 시험이 있는데 쳐 집회하냐 에휴 개만도 못해 ㅡ	0	0	0
86	짱깨들 막지도 않고 의료진의 희생과 국민들이 마스크 열심히 쓰면서 노력해서  획진자 줄여 놓으니 전화들고 k방역 어쩌구 자화자찬 드럽게 하드만 쿠폰이나 뿌려대고 이 사단이 날줄 알았다.근데 어쩌나 이번 확진은 교회도 아니고 태극기도 아닌 민노총 인데..주딩이 꼬맸냐? 말이 없냐?	0	0	0
87	이게  다 신천지 이만희교주와 사랑제일교회 전광훈목사, 지난 8.15집회 때문이라메?  에?	0	0	0
88	3단계 바로 안가면 무고한 국민들 죽게 됩니다.	0	0	0
89	이제 안전한 곳은 집 외엔 없다는거 느낍니다	0	0	0
90	역시 k방역!!! 훠훠훠	0	0	0
91	민노총 책임져라!	0	0	0
92	민노총  집회허용  때문에  국민들 안이해져서  틀렸어  정부가  망치는군	0	0	0
93	이와중에 해외는 계속들어오고 난리도아니다	0	0	0
94	공무원 기초스급자 국가지원금이나 연금대상자는 재외시카고 건강보험 최저내는가구 하고6개월이상 소득없는가구 일인가구 추려서하위 30 프로에 긴급지원 100만원씩 3개월을 지급해줘라 겨울을 나야하잖아	0	0	0
95	생각보다 적네요	0	0	1
95	그건 마즘	0	0
96	코로나를 비롯해 부동산, 의료, 종교 등 왠밀한 사안들을 모두 정치적인 영역으로 끌어들여 보도하는 형태를 취한 언론인들의 책임이 크다.	0	0	0
97	대통령은 어케 말한마디도 없을까요 ㅋㅋㅋ	0	0.0	0
98	서울수도권은 대체  왜그러는지 참 이해가안되네..지금은법적으로 마스크도하고 방역지침이강화됐음에도불구하고 계속늘어난다는것은 분명수도권지역에 문제가많다는것이다!!대구는오늘0명이 나왔다는데...수도권3단계격상을빨리하시오!!더이상 확진자가 안나오게 불안합니다!!	0	0.0	0
99	南韩是共产党。	0	0.0	0
100	코로나 확진자랑 무조건 최대한 멀리 떨어지세요. 코로나바이러스 완치없습니다. 돌연변이가 아주 빠른 바이러스입니다. 후각상실, 미각상실, 혈전, 당뇨, 탈모, 폐, 뇌, 피부, 혈관감염, 브레인포그(머리가 안개낀것처럼 멍한상태로 사고를 명확하게 못하는 상태또는증상), 남성의 경우 고환염, 심근염등 심장질환.	0	0.0	0
101	어디가서 우리나라 시민의식 수준급이라고 하지말자.. 그렇게 모이지말라고 했는데 굳이 놀러나가는 사람들 정말 생각이 있는건지 없는건지 모르겠다 이래놓고 집에가서 어휴 방역실패네 문재앙 문재앙하겠지뭐..	0	0.0	0
102	K방역 화이팅   문재인  민주당에 감사드립니다.코로나 대응 잘  해서	2.807354922057604	4.700439718141093	2
102	와 이새ㄱㅣ다른기사에 댓글단거 소름이네	0	0
102	욕 처먹고 싶냐?	0	0
